Nombre_Tipo_Entidad,Tipo_de_persona,Tipo_de_crédito,Tipo_de_garantía,Producto de crédito,Plazo de crédito,Nombre_Entidad,by_month_fecha_corte,Tasa_efectiva_promedio_ponderada
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial especial,Garantia idónea o no idónea,Comerciales especiales establecidos mediante leyes,Hasta 30 días,Bancolombia,02/01/2025 12:00:00 AM,12.524897959183674
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial especial,Garantia idónea o no idónea,Comerciales especiales establecidos mediante leyes,Hasta 30 días,Bancolombia,03/01/2025 12:00:00 AM,12.45037037037037
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial especial,Garantia idónea o no idónea,Comerciales especiales establecidos mediante leyes,Hasta 30 días,Bancolombia,04/01/2025 12:00:00 AM,12.152432432432432
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial especial,Garantia idónea o no idónea,Comerciales especiales establecidos mediante leyes,Hasta 30 días,Bancolombia,05/01/2025 12:00:00 AM,13.204285714285714
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial especial,Garantia idónea o no idónea,Comerciales especiales establecidos mediante leyes,Más de 30 días y hasta 1 año,Bancolombia,02/01/2025 12:00:00 AM,12.70945205479452
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial especial,Garantia idónea o no idónea,Comerciales especiales establecidos mediante leyes,Más de 30 días y hasta 1 año,Bancolombia,03/01/2025 12:00:00 AM,12.591832061068702
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial especial,Garantia idónea o no idónea,Comerciales especiales establecidos mediante leyes,Más de 30 días y hasta 1 año,Bancolombia,04/01/2025 12:00:00 AM,12.428093220338983
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial especial,Garantia idónea o no idónea,Comerciales especiales establecidos mediante leyes,Más de 30 días y hasta 1 año,Bancolombia,05/01/2025 12:00:00 AM,12.710814814814815
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial especial,Sin garantia,Comerciales especiales establecidos mediante leyes,Hasta 30 días,Bancolombia,02/01/2025 12:00:00 AM,13.72
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial especial,Sin garantia,Comerciales especiales establecidos mediante leyes,Hasta 30 días,Bancolombia,04/01/2025 12:00:00 AM,13.74
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial especial,Sin garantia,Comerciales especiales establecidos mediante leyes,Más de 30 días y hasta 1 año,Bancolombia,02/01/2025 12:00:00 AM,12.980555555555556
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial especial,Sin garantia,Comerciales especiales establecidos mediante leyes,Más de 30 días y hasta 1 año,Bancolombia,03/01/2025 12:00:00 AM,12.8546
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial especial,Sin garantia,Comerciales especiales establecidos mediante leyes,Más de 30 días y hasta 1 año,Bancolombia,04/01/2025 12:00:00 AM,12.655
