nombre_entidad,fecha_mes,tipo_de_persona,tipo_de_garantia,producto_de_credito,tipo_de_credito,plazo_de_credito,tasa_efectiva_promedio_ponderada
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Comerciales con recursos provenientes de redescuento,Comercial ordinario,A más de 7 años,10.86
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Construcción de proyectos de vivienda no vis (colocación en uvr),Comercial ordinario,Más de 3 años y hasta 5 años,7.0
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Construcción de proyectos de vivienda vis (colocación en uvr),Comercial ordinario,Más de 1 año y hasta 3 años,6.5
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Corporativo,Comercial preferencial o corporativo,A más de 7 años,16.5
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Corporativo,Comercial preferencial o corporativo,Más de 1 año y hasta 3 años,11.655
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Corporativo,Comercial preferencial o corporativo,Más de 3 años y hasta 5 años,14.17
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Corporativo,Comercial preferencial o corporativo,Más de 30 días y hasta 1 año,11.3
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Corporativo,Comercial preferencial o corporativo,Más de 5 años y hasta 7 años,13.48
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Factoring,Comercial ordinario,Hasta 30 días,14.297115384615385
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Factoring,Comercial ordinario,Más de 30 días y hasta 1 año,14.325954415954415
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Financiero e institucional,Comercial ordinario,Más de 1 año y hasta 3 años,12.184285714285714
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Oficial o Gobierno,Comercial ordinario,Hasta 30 días,13.7125
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Oficial o Gobierno,Comercial ordinario,Más de 30 días y hasta 1 año,13.188333333333333
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Sobregiro en cuenta corriente persona jurídica o persona natural,Comercial ordinario,Hasta 30 días,26.29
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Tarjeta de crédito empresarial,Comercial ordinario,Consumos a un mes,0.0
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Tarjeta de crédito empresarial,Comercial ordinario,Consumos entre 2 y 6 meses,26.2
AV Villas,2025-02-28,Jurídica,Garantia idónea o no idónea,Tarjeta de crédito empresarial,Comercial ordinario,Consumos entre 25 y 36 meses,25.67666666666667
AV Villas,2025-02-28,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Comercial ordinario,Más de 1 año y hasta 3 años,11.49
AV Villas,2025-02-28,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Corporativo,Comercial preferencial o corporativo,Más de 1 año y hasta 3 años,12.473333333333333
AV Villas,2025-02-28,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Corporativo,Comercial preferencial o corporativo,Más de 3 años y hasta 5 años,12.79
AV Villas,2025-02-28,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Crédito productivo de mayor monto (sin recursos de redescuento),Crédito productivo,Más de 1 año y hasta 3 años,15.742
AV Villas,2025-02-28,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Crédito productivo de mayor monto (sin recursos de redescuento),Crédito productivo,Más de 30 días y hasta 1 año,16.55906976744186
AV Villas,2025-02-28,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Crédito productivo urbano (sin recursos de redescuento),Crédito productivo,Más de 1 año y hasta 3 años,19.418333333333333
AV Villas,2025-02-28,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Crédito productivo urbano (sin recursos de redescuento),Crédito productivo,Más de 30 días y hasta 1 año,19.823076923076925
AV Villas,2025-02-28,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Empresarial en pesos,Comercial ordinario,Más de 1 año y hasta 3 años,13.885090909090907
AV Villas,2025-02-28,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Empresarial en pesos,Comercial ordinario,Más de 3 años y hasta 5 años,15.835
AV Villas,2025-02-28,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Empresarial en pesos,Comercial ordinario,Más de 30 días y hasta 1 año,17.3
AV Villas,2025-02-28,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Factoring,Comercial ordinario,Hasta 30 días,19.27
AV Villas,2025-02-28,Jurídica,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Factoring,Comercial ordinario,Más de 30 días y hasta 1 año,19.453333333333333
AV Villas,2025-02-28,Jurídica,Sin garantia,Comerciales con recursos provenientes de redescuento,Comercial ordinario,Más de 1 año y hasta 3 años,10.7
AV Villas,2025-02-28,Jurídica,Sin garantia,Comerciales con recursos provenientes de redescuento,Comercial ordinario,Más de 3 años y hasta 5 años,7.66
AV Villas,2025-02-28,Jurídica,Sin garantia,Corporativo,Comercial preferencial o corporativo,A más de 7 años,12.59
AV Villas,2025-02-28,Jurídica,Sin garantia,Corporativo,Comercial preferencial o corporativo,Más de 1 año y hasta 3 años,11.781344537815126
AV Villas,2025-02-28,Jurídica,Sin garantia,Corporativo,Comercial preferencial o corporativo,Más de 30 días y hasta 1 año,12.5175
AV Villas,2025-02-28,Jurídica,Sin garantia,Crédito productivo de mayor monto (sin recursos de redescuento),Crédito productivo,Más de 1 año y hasta 3 años,14.695
AV Villas,2025-02-28,Jurídica,Sin garantia,Crédito productivo de mayor monto (sin recursos de redescuento),Crédito productivo,Más de 3 años y hasta 5 años,18.78
AV Villas,2025-02-28,Jurídica,Sin garantia,Crédito productivo de mayor monto (sin recursos de redescuento),Crédito productivo,Más de 30 días y hasta 1 año,14.496851851851853
AV Villas,2025-02-28,Jurídica,Sin garantia,Crédito productivo urbano (sin recursos de redescuento),Crédito productivo,Más de 1 año y hasta 3 años,20.44333333333333
AV Villas,2025-02-28,Jurídica,Sin garantia,Crédito productivo urbano (sin recursos de redescuento),Crédito productivo,Más de 30 días y hasta 1 año,18.8975
AV Villas,2025-02-28,Jurídica,Sin garantia,Empresarial en pesos,Comercial ordinario,Más de 1 año y hasta 3 años,12.527714285714286
AV Villas,2025-02-28,Jurídica,Sin garantia,Empresarial en pesos,Comercial ordinario,Más de 30 días y hasta 1 año,13.79
AV Villas,2025-02-28,Jurídica,Sin garantia,Factoring,Comercial ordinario,Hasta 30 días,14.685436893203883
AV Villas,2025-02-28,Jurídica,Sin garantia,Factoring,Comercial ordinario,Más de 30 días y hasta 1 año,15.226025778732547
AV Villas,2025-02-28,Jurídica,Sin garantia,Oficial o Gobierno,Comercial ordinario,Más de 1 año y hasta 3 años,11.176
AV Villas,2025-02-28,Jurídica,Sin garantia,Tarjeta de crédito empresarial,Comercial ordinario,Consumos a un mes,0.0
AV Villas,2025-02-28,Jurídica,Sin garantia,Tarjeta de crédito empresarial,Comercial ordinario,Consumos entre 2 y 6 meses,26.11862068965517
AV Villas,2025-02-28,Jurídica,Sin garantia,Tarjeta de crédito empresarial,Comercial ordinario,Consumos entre 25 y 36 meses,26.049339622641508
AV Villas,2025-02-28,Jurídica,Sin garantia,Tarjeta de crédito empresarial,Comercial ordinario,Consumos entre 7 y 12 meses,26.2
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Adquisición de vivienda no vis (colocación en pesos),Vivienda,Más de 15 años y hasta 20 años,10.55908256880734
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Adquisición de vivienda no vis (colocación en pesos),Vivienda,Más de 5 años y hasta 7 años,10.21470588235294
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Adquisición de vivienda no vis (colocación en pesos),Vivienda,Más de 7 años y hasta 15 años,10.385233160621762
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Adquisición de vivienda no vis (colocación en pesos),Vivienda,Vivienda hasta 5 años,10.851818181818182
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Adquisición de vivienda no vis (colocación en uvr),Vivienda,Más de 15 años y hasta 20 años,7.2875
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Adquisición de vivienda no vis (colocación en uvr),Vivienda,Más de 7 años y hasta 15 años,5.9
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Adquisición de vivienda vis (colocación en pesos),Vivienda,Más de 15 años y hasta 20 años,10.437142857142856
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Adquisición de vivienda vis (colocación en pesos),Vivienda,Más de 5 años y hasta 7 años,10.113333333333332
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Adquisición de vivienda vis (colocación en pesos),Vivienda,Más de 7 años y hasta 15 años,10.185546875
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Adquisición de vivienda vis (colocación en pesos),Vivienda,Vivienda hasta 5 años,10.09
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Adquisición de vivienda vis (colocación en uvr),Vivienda,Más de 15 años y hasta 20 años,7.452941176470588
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Adquisición de vivienda vis (colocación en uvr),Vivienda,Más de 7 años y hasta 15 años,7.0
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Crédito rotativo,Consumo,Más de 1 año y hasta 3 años,25.885
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Crédito rotativo,Consumo,Más de 3 años y hasta 5 años,25.118181818181817
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Empresarial en pesos,Comercial ordinario,A más de 7 años,11.95
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Libranza otros,Consumo,Más de 1 año y hasta 3 años,15.605
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Libranza otros,Consumo,Más de 10 años,14.525316901408452
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Libranza otros,Consumo,Más de 3 años y hasta 5 años,15.9095
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Libranza otros,Consumo,Más de 5 años y hasta 7 años,15.435714285714287
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Libranza otros,Consumo,Más de 7 años y hasta 10 años,14.884387096774194
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Libre inversión,Consumo,Entre 31 días y 1 año,21.03
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Libre inversión,Consumo,Más de 1 año y hasta 3 años,22.22
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Libre inversión,Consumo,Más de 3 años y hasta 5 años,21.86583333333333
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Libre inversión,Consumo,Más de 5 años y hasta 7 años,20.000909090909094
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Libre inversión,Consumo,Más de 7 años y hasta 10 años,16.8
AV Villas,2025-02-28,Natural,Garantia idónea o no idónea,Sobregiro en cuenta corriente persona natural,Consumo,Entre 31 días y 1 año,26.29
